texto,reduzido,ordinal,hebraico,quadrado_reduzido,quadrado_ordinal,trigonal,criacao,quantidade_letras,
A Palavra Da Verdade,64,136,1108,356,2120,1128,2329,17,
A Palavra De Cristo Habite Em Vós Abundantemente Em Toda A Sabedoria,223,556,3391,1235,8462,4509,31749,57,
A Palavra De Deus,49,130,1012,251,2096,1113,1834,14,
A Palavra De Deus + Mulher,81,207,1485,455,3263,1735,4368,21,
A Palavra Do Senhor,71,170,971,443,2648,1409,2736,16,
A Palavra Do Senhor Foi Em Dirigida Nestes Termos,199,451,2179,1287,6705,3578,18532,41,
A Palavra Do Senhor Na Tua Boca É Verdade.,132,312,2103,738,4842,2577,10642,34,
A Palavra Do Senhor Permanece Para Sempre,164,362,1712,1028,5420,2891,12705,35,
A Palavra Tem Poder,69,168,1068,411,2652,1410,2704,16,
A Parte Reservada Ao Violento,111,282,1938,677,4574,2428,7075,25,
A Paz De Deus,39,102,1290,207,1818,960,1030,10,
A Pedra Bruta,44,107,764,272,1793,950,1188,11,
A Pedra Tirada Do Sepulcro,100,226,1198,628,3472,1849,4994,22,
A Perseverança No Bem,78,177,978,446,2651,1414,3204,18,
A Piedade Com Contentamento,100,235,1126,510,3291,1763,5664,24,
A Piramide,49,76,229,351,954,515,693,9,
A Praga Dos Gafanhotos,80,188,827,488,2792,1490,3591,19,
A Predestinação Do Celso Goldfarb,125,269,1061,719,3725,1997,7830,29,
A Pressão,31,94,427,195,1554,824,760,8,
A Pressão Do Inimigo,90,189,675,616,2677,1433,3230,17,
A Principal Pedra De Esquina,121,238,1057,805,3406,1822,5736,24,
A Promessa Da Vida Que Esta Em Cristo Jesus,133,412,2599,761,6746,3579,14455,35,
A Prova Pelo Diabo,71,152,863,441,2268,1210,2295,15,
A Punição Dos Maus,55,172,1099,291,2784,1478,2595,15,
A Purificação,58,103,553,394,1465,784,1248,12,
A Purificação Dos Pecados,96,204,960,584,2960,1582,4510,22,
A Qual É A Mãe De Todos Nós,72,207,1107,348,3147,1677,4160,20,
A Queda Do Homem,59,122,608,325,1666,894,1599,13,
A Queda Do Homem Veio Pela Desobediencia,158,302,1445,912,3972,2137,10302,34,
A Quem Allah Concedeu O Livro E A Sabedoria E A Profecia,204,411,2103,1228,5755,3083,18540,45,
A Quem Deus Ressucitou Dentre Os Mortos,141,456,3066,809,7712,4084,15081,33,
A Quem Obedeceis,61,124,619,337,1696,910,1750,14,
A Quietude,40,103,904,234,1719,911,936,9,
A Raiz,28,55,901,228,1083,569,280,5,
A Rebelde Israel A Despedi,98,179,575,598,2281,1230,3960,22,
A Recompensa Do Justo,70,214,1159,372,3360,1787,3870,18,
A Redenção Em Jerusalem,80,188,845,428,2606,1397,3780,20,
A Renuncia,41,86,509,257,1274,680,783,9,
A Ressurreição Da Condenação,106,232,1096,632,3422,1827,5825,25,
"A Revelação Do Livro É De Allah, O Todo Poderoso, O Sábio",202,463,2398,1196,6803,3633,21344,46,
A Riqueza,44,98,1286,326,1838,968,792,8,
A Riqueza De Nada Vale No Dia Do Juizo,139,310,3154,863,5030,2670,9330,30,
A Riqueza De Nada Vale No Dia Do Juizo Mas A Caridade Livra Da Morte,239,527,4343,1479,8229,4378,28512,54,
A Riqueza De Um Homem É O Resgate Da Sua Vida,156,372,3081,938,5978,3175,13055,35,
A Roda Da Fortuna,58,139,868,344,2207,1173,1960,14,
A Sabedoria,39,75,273,247,1039,557,760,10,
A Sabedoria Da Escritura,86,194,1076,556,3022,1608,4095,21,
A Sabedoria De Deus Oculta Em Mistério,133,331,1843,773,5003,2667,10624,32,
A Sabedoria De Salomão,70,160,574,388,2206,1183,3059,19,
A Sabedoria Divina Para Praticar Justiça,150,339,1995,1012,5269,2804,11900,35,
A Sabedoria Do Prudente É Entender O Seus Caminho,186,429,2211,1088,6353,3391,17630,41,
A Sabedoria Foi Criada Antes De Todas As Coisas,147,354,1560,875,5240,2797,13845,39,
A Sabedoria Não Entrará Na Alma Perversa,139,328,1705,859,5044,2686,11186,34,
A Sabedoria Sai Da Minha Boca,94,175,562,584,2249,1212,4224,24,
A Saber Que Os Gentios São Co Herdeiros De Um Mesmo Corpo Participantes Da Promessa Em Cristo Pelo Evangelho,421,1042,5164,2593,15886,8464,93870,90,
A Sala Dos Passos Perdidos,80,251,1070,460,3979,2115,5544,22,
A Salvação Vem Do Senhor,78,213,1419,416,3341,1777,4280,20,
A Sedução Das Riquezas,74,209,1964,442,3655,1932,3990,19,
A Semente,28,82,406,122,1202,642,664,8,
A Semente É A Palavra De Deus,82,217,1423,398,3323,1770,5014,23,
A Senda Da Paz,38,92,1037,200,1550,821,1023,11,
A Serpente Disse A Mulher,93,237,1218,565,3625,1931,4998,21,
A Serpente Enganou,72,180,999,406,2746,1463,2896,16,
A Serpente Enganou Me,81,198,1044,447,2940,1569,3582,18,
A Serpente Enganou Me E Eu Comi,116,269,1466,648,3915,2092,6750,25,
A Serpente Era Astuta Mais Do Que Qualquer Animal Do Campo Feito Por Deus,263,695,4187,1569,11037,5866,41760,60,
A Serva Do Senhor,65,164,974,409,2632,1398,2310,14,
A Serviço Da Misericordia,112,220,1093,776,3224,1722,4862,22,
A Sinceridade Dos Sinceros Os Encaminharás,165,372,1380,1041,5334,2853,13801,37,
A Soberania Do Homem Sobre Si Mesmo,130,310,1147,788,4442,2376,9019,29,
A Soberba,27,63,261,153,945,504,512,8,
A Soberba De Sua Força,66,156,831,368,2384,1270,2826,18,
A Soberba Do Te U Coração,76,184,1048,416,2846,1515,3700,20,
A Soberba Do Te U Coração Te Enganou,115,286,1726,615,4404,2345,8323,29,
A Soberba Precede A Ruina,93,183,894,581,2669,1426,3864,21,
A Soberba Precede A Ruina E A Altivez Do Espirito A Queda,211,463,3343,1333,7273,3868,21344,46,
A Sua Esposa Maria,51,159,879,305,2609,1384,2400,15,
A Sua Garganta É Um Sepulcro Aberto,113,320,2120,643,5224,2772,9309,29,
A Sua Obra Cairá Sobre A Sua Cabeça,91,226,1333,515,3566,1896,6356,28,
A Sua Propria Palavra,80,206,1385,548,3482,1844,3726,18,
A Sua Sabedoria E Infinita,95,203,1013,617,2939,1571,4488,22,
A Submissão,29,119,713,151,2005,1062,1200,10,
A Suprema Contemplação,77,212,1130,403,3238,1725,4260,20,
A Terra Estará Cheia Do Conhecimento,143,296,1367,893,4232,2264,9207,31,
A Terra Produziu Erva,95,239,2516,661,4369,2304,4320,18,
A Terra Se Encheu De Violencia,116,242,1439,700,3508,1875,6075,25,
A Testemunha,37,127,910,175,2083,1105,1408,11,
A Testemunha De Belial Escarnece Do Juizo E A Boca Dos Impios Engole A Iniquidade,297,648,3654,1751,9194,4921,43483,67,
A Testemunha De Jesus,57,210,1434,253,3412,1811,3798,18,
A Testemunha De Jesus Cristo,87,294,1896,465,4812,2553,7080,24,
A Testemunha Especial,71,197,1133,375,2985,1591,3762,19,
A Testemunha Especial Do Tempo,105,285,1572,557,4301,2293,7436,26,
A Testemunha Mentirosa Perecerá,123,312,1734,741,4854,2583,8764,28,
A Ti Clamo Sem Cessar,59,176,788,317,2666,1421,3009,17,
A Ti Mesmo Em Piedade,76,157,598,434,2045,1101,2686,17,
A Trazer Dentre Os Mortos,100,289,2251,644,5027,2658,6090,21,
A Tristeza No Coração,78,204,1734,496,3484,1844,3690,18,
A Tua Habitação Está No Meio Dao Engano,124,295,1555,680,4271,2283,9472,32,
A Tua Mão Se Exaltará Sobre Os Teus Adversários,143,467,3518,815,8051,4259,18252,39,
A Tua Vergonha Se Descobrirá E Ver Se Á O Seu Opróbrio Tomarei Vingança E Não Farei Acepção De Homem Algum,404,881,4940,2496,13107,6994,75852,86,
A Tudo Que Fazemos Hoje Aqui,104,275,2435,624,4557,2416,6348,23,
A Unicidade,44,71,386,264,867,469,720,10,
A Unidade,32,59,374,174,777,418,480,8,
A Verdade,33,60,510,181,892,476,488,8,
A Verdade Chegou E A Falsidade Pereceu,142,259,1537,808,3517,1888,8320,32,
A Verdade Dos Fatos,60,159,1041,312,2517,1338,2560,16,
A Verdade Interior,87,168,1023,595,2548,1358,2704,16,
A Verdade Julgara Todos Os Homens,113,311,1796,629,4805,2558,8736,28,
A Verdade Nos Uni A Deus,76,202,1489,410,3236,1719,3857,19,
A Verdade Permanece,77,140,779,437,1922,1031,2397,17,
A Verdade Vem De De Teu Senhor,108,243,1791,590,3713,1978,5856,24,
A Vida De Ceslo Goldfarb,84,165,822,468,2187,1176,3320,20,
A Vida De Jesus,39,120,939,193,1912,1016,1452,12,
A Vida De Jesus Cristo,69,204,1401,405,3312,1758,3690,18,
A Vida É A Luz,39,102,1551,223,1870,986,1030,10,
A Vida É Mais Do Que O Alimento,106,250,1474,622,3682,1966,6024,24,
A Vida Eterna Aos Que Com Perseverança Em Fazer O Bem Procuram Glória Honra E Incorrupção,365,806,5090,2329,12508,6657,59718,74,
A Vida Humana,41,95,815,231,1455,775,1056,11,
A Vingança Do Seu Templo,82,217,1396,434,3305,1761,4360,20,
A Virgindade,58,94,580,392,1274,684,1045,11,
A Virtude,37,100,1009,233,1772,936,808,8,
A Visão De Isaías,53,134,800,343,2080,1107,1890,14,
A Visita Do Sol Nascente,74,227,1388,398,3593,1910,4560,20,
A Vitima,30,75,660,200,1217,646,532,7,
A Vontade,28,82,721,124,1348,715,664,8,
A Vós É Concedido Conhecer Os Misterios Do Reino De Deus Mas Aos Outros Se Lhe Falas Por Parabolas,353,902,4430,2105,13742,7322,72240,80,
A Vossa Santificação,61,178,1105,341,2834,1506,3222,18,
A Voz Da Consciencia,74,164,1559,436,2596,1380,2805,17,
A Voz Do Arcanjo,55,145,1540,323,2483,1314,1898,13,
A Voz Do Dinheiro,84,165,1560,578,2639,1402,2324,14,
A Voz Do Sangue Do Teu Irmão,100,271,2557,584,4607,2439,5984,22,
A Voz Do Silencio,70,169,1591,436,2749,1459,2380,14,
Abandona A Ira E Desista Do Orgulho,125,278,1313,763,4030,2154,8091,29,
Abel,11,20,38,39,174,97,84,4,
Abençoai O Que Vos Perseguem,111,273,1758,649,4267,2270,6576,24,
Abençoar,32,59,212,182,785,422,480,8,
Abençoou Deus O Dia Sétimo,91,235,1378,493,3553,1894,5192,22,
Abismo Profundo,69,168,852,427,2560,1364,2366,14,
Abominação É Para Os Justos O Homem Iniquo,155,407,2045,945,6183,3295,14280,35,
Abominações Que Ali Se Cometem,107,260,1214,581,3686,1973,6786,26,
Abomino A Soberba De Jacó,80,170,566,440,2222,1196,3591,21,
Abra Nos A Porta Da Palavra,82,217,1324,496,3547,1882,4796,22,
Abraão Abraão E Ele Disse Eis Me Aqui,123,258,1122,759,3648,1953,7770,30,
Abraão Intercedeu Junto A Deus,101,272,1856,551,4304,2288,7098,26,
Abri As Portas Para Que Entre Nela A Nação Justa Que Observa A Verdade,225,603,3987,1323,9819,5211,34428,57,
Abrigo Seguro,65,137,731,453,2109,1123,1656,12,
Abrir,30,48,192,248,734,391,245,5,
Abrir A Visão De Vocês Dando Principalmente Novas Formas De Pensar,255,606,3324,1559,9236,4921,33992,56,
Absoluto Silencio,65,191,1019,367,2923,1557,3072,16,
Abstinencia,43,97,430,257,1355,726,1078,11,
Abundancia De Salvação,63,153,1026,287,2213,1183,3080,20,
Acabar,17,26,98,97,340,183,162,6,
Acabar A Obra,36,63,252,220,895,479,704,11,
Acaso Se Colhem Uvas De Espinheiros Ou Figos De Cardos,201,489,2541,1203,7341,3915,22050,45,
Acautelai-Vos; Ninguém Vos Engane;,116,314,2249,626,4892,2603,9765,31,
Aceita Tudo Que Lhe Acontece,98,233,1538,516,3477,1855,5616,24,
Aceitação,31,58,283,167,752,405,531,9,
Aceitamos A Felicidade Da Mão De Deus,120,237,1020,636,3003,1620,7378,31,
Aceitar,30,57,309,202,841,449,406,7,
Aceitar +Paz,46,100,1180,316,1774,937,1111,11,
Acende O Fogo,54,90,261,294,1032,561,1001,11,
Acerca Da Sua Doutrina,71,179,1223,407,2873,1526,3420,19,
Acerto,26,62,359,156,984,523,378,6,
Acescentar,35,89,458,181,1351,720,900,10,
Achará Castigo E Vilipendio E Seu Oprobio Nunca Se Apagará,227,488,2576,1443,7194,3841,23961,49,
Achou Deus A Iniquidade Dos Teus Servos,140,392,2777,822,6420,3406,12969,33,
Acima Do Que Idolatram,83,182,938,503,2618,1400,3477,19,
Acolher A Escritura,78,177,996,518,2759,1468,3026,17,
Acomodação,35,71,233,161,881,476,720,10,
Acordo,29,56,218,179,800,428,342,6,
Acordo De Paz,54,108,1098,334,1774,941,1199,11,
Acordo Entre Santos,71,206,1079,407,3314,1760,3519,17,
Acusação,19,64,469,67,1048,556,520,8,
Acusar,18,63,495,102,1137,600,384,6,
Adão,12,21,66,54,243,132,88,4,
Adepto,25,61,340,131,923,492,372,6,
Adiantado,33,69,330,181,937,503,630,9,
Adição,24,33,78,144,333,183,204,6,
Admoesta Os Humanos E Alvissara Os Que Creem Que Terão Junto De Seu Senhor Real Primazia,317,875,5789,1915,14155,7515,63948,73,
Admoestador Para Os Que Renegam A Fé,132,303,1482,784,4537,2420,9120,30,
Admoesto Vos Como Filho Amados,108,297,1512,582,4443,2370,7748,26,
Admostai Os Homem De Que Não Existe Deus Se Não Eu,166,463,3082,896,7295,3879,18560,40,
Adoecer,33,51,168,193,625,338,364,7,
Adora A Deus Porque O Testemunho De Jesus É O Espirito Da Profecia,250,628,3580,1528,9808,5218,33966,54,
Adoração,31,58,220,181,802,430,472,8,
Adoração Aos Astros,59,185,932,343,3061,1623,3162,17,
Adorado,31,58,220,187,808,433,413,7,
Adoradora De Idolos,79,160,583,489,2226,1193,2737,17,
Adorar,30,57,246,216,891,474,348,6,
Adorar A Deus,44,107,656,268,1735,921,1188,11,
Adorar Serpente,69,159,771,451,2503,1331,2240,14,
Adoraram O Bezerro,85,175,1399,585,2889,1532,2816,16,
Adquirir,52,97,583,414,1557,827,784,8,
Adulterar,37,100,721,227,1676,888,909,9,
"Adulterio, Prostituição,Impureza, Lascivia",177,456,3669,1179,7596,4026,18280,40,
Adversarios,50,131,860,340,2203,1167,1452,11,
Adverti E Acautelai Vos Do Fermento Dos Fariseus,176,464,3119,1030,7402,3933,19065,41,
Advinho,37,73,532,239,1067,570,518,7,
Aescolhadocelsogoldfarb,94,202,670,510,2634,1418,4669,23,
Aessenciaespiritualdofogo,115,268,1285,719,3950,2109,6725,25,
Aexistenciadador,71,152,1142,439,2338,1245,2448,16,
Afasta De Mim Este Calice,75,174,768,387,2340,1257,3675,21,
Afasta Dela O Teu Caminho,77,194,1085,401,2822,1508,4095,21,
Afinar,31,49,157,225,639,344,300,6,
Afirmar,39,66,237,297,936,501,469,7,
Afligir,44,62,152,338,716,389,441,7,
Afontebrota,45,117,675,253,1837,977,1298,11,
Aganahi,32,41,77,222,393,217,294,7,
Age Com Serenidade,74,128,389,432,1548,838,2064,16,
Age Pelo Não Agir,72,126,396,468,1602,864,1778,14,
Agitação,30,57,282,182,767,412,464,8,
Agonia,29,47,128,193,553,300,288,6,
Agora Cantarei Ao Meu Amado,94,202,1030,552,2910,1556,4669,23,
Agora Pois Ó Israel Que É Que O Senhor Teu Deus Pede Te Ti,220,544,3253,1376,8576,4560,24525,45,
Agora Pois Perdoa,79,160,628,543,2370,1265,2415,15,
Agora Pois Perdoa O Seu Pecado,120,264,1236,750,3954,2109,6625,25,
Agora Pois Permanece A Fé A Esperança E O Amor Estes Tres Mas O Maior É O Amor,275,644,2723,1697,9590,5117,39345,61,
Agora Pois Se Obedecerdes A Minha Voz,148,319,2155,928,4861,2590,9920,31,
Agora Pois Se Obedecerdes A Minha Voz E Guardardes A Minha Aliança,248,509,2966,1548,7389,3949,28050,55,
Agora Sei Verdadeiramente Que O Senhor Enviou O Seu Anjo,227,542,3350,1405,8380,4461,25521,47,
Agradar,32,50,194,230,716,383,357,7,
Agradavel Aos Olhos,67,175,958,383,2651,1413,2992,17,
Agradou A Deus,45,117,873,245,1901,1009,1416,12,
Agredir,44,62,206,334,820,441,441,7,
Agripa,34,52,178,262,712,382,318,6,
Agua,12,30,309,60,492,261,124,4,
Agua Caindo Gota A Gota Com O Tempo Enche A Jarra,164,362,1775,950,5144,2753,14157,39,
Água Da Rocha,44,80,476,268,1132,606,891,11,
Aguardamos,37,100,604,211,1588,844,1010,10,
Aguardamos Novos Céus E Nova Terra ,118,352,2584,664,5920,3136,10237,29,
Águas Amargas,37,109,649,211,1759,934,1320,12,
Aguas Transparentes,66,219,1371,384,3723,1971,3960,18,
Aguia,21,39,318,141,573,306,200,5,
Ah Mulher Adúltera Que Admite Estranhos Em Vez De Seu Marido,225,567,4239,1347,9051,4809,28400,50,
Ahha,18,18,18,130,130,74,76,4,
Ahumildadededeus,64,136,820,330,1842,989,2192,16,
Ai,10,10,10,82,82,46,22,2,
Ai Da Sua Alma Porque Fazem Mal A Si Mesmos,131,365,2471,747,5751,3058,12444,34,
Ai De Mim Estou Perdido,97,205,1015,615,2937,1571,3914,19,
Ai De Mim Estou Perdido Pois Sendo Eu Um Homem De Lábios Impuros,253,613,3151,1547,9125,4869,31928,52,
Ai De Vós Ecribas E Fariseus Hipócritas,155,353,1955,1045,5455,2904,11682,33,
Ai Do Mundo Por Causa Dos Escandalos,114,321,1671,600,4929,2625,9660,30,
